epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.809,1.36748,1.9573,2.03596,1.30576,0.49519,0.52002,0.50338,0.22047,0.39727,0.37751,0.29896,0.07737,1.9881,1.37697,2.44283,2.01149,0.000663805,0.000663805,0.000663805
2,68.6617,1.40279,1.71639,1.52291,1.31065,0.56376,0.56225,0.50714,0.20555,0.43071,0.4498,0.32106,0.09199,1.98356,1.38552,1.86606,1.78745,0.0013173,0.0013173,0.0013173
3,99.9787,1.38073,1.6886,1.38007,1.30294,0.5572,0.5743,0.51541,0.22192,0.50852,0.45783,0.31731,0.08571,1.83893,1.3789,1.84346,1.65547,0.0019576,0.0019576,0.0019576
4,131.127,1.31782,1.69034,1.2867,1.26783,0.28309,0.51807,0.30001,0.10568,0.23241,0.46586,0.16135,0.03761,2.17591,1.41973,2.04986,1.84461,0.0019406,0.0019406,0.0019406
5,162.211,1.24952,1.63133,1.23053,1.25048,0.6904,0.609,0.60034,0.32878,0.56028,0.49799,0.38251,0.10975,1.55426,1.32033,1.58944,1.50141,0.0019208,0.0019208,0.0019208
6,193.399,1.20005,1.60538,1.15115,1.21727,0.73734,0.67871,0.65137,0.33755,0.63994,0.59244,0.47146,0.14088,1.72199,1.27376,1.58936,1.50101,0.001901,0.001901,0.001901
7,224.486,1.18575,1.61134,1.15648,1.21203,0.75089,0.66667,0.66379,0.39282,0.64672,0.57028,0.49408,0.1614,1.45635,1.25421,1.44506,1.40525,0.0018812,0.0018812,0.0018812
8,255.542,1.17221,1.6212,1.12301,1.20261,0.66238,0.64257,0.5732,0.2901,0.54891,0.5261,0.40181,0.10464,1.6387,1.24426,1.68073,1.54976,0.0018614,0.0018614,0.0018614
9,286.536,1.14336,1.57074,1.08519,1.18779,0.73024,0.6523,0.67884,0.42502,0.63036,0.5502,0.48815,0.16005,1.43569,1.29954,1.37773,1.35715,0.0018416,0.0018416,0.0018416
10,317.779,1.10815,1.56432,1.06751,1.18235,0.78595,0.64257,0.68746,0.41511,0.72034,0.58963,0.57393,0.18382,1.42704,1.23454,1.42538,1.34773,0.0018218,0.0018218,0.0018218
11,348.841,1.09845,1.55082,1.04163,1.17177,0.73461,0.63855,0.66075,0.41426,0.58963,0.53815,0.4634,0.15734,1.39262,1.2411,1.32924,1.31228,0.001802,0.001802,0.001802
12,379.903,1.08662,1.55481,1.02009,1.16079,0.62934,0.6747,0.62607,0.35978,0.52132,0.56225,0.45323,0.14302,1.43729,1.21668,1.45067,1.33365,0.0017822,0.0017822,0.0017822
13,410.938,1.05748,1.5573,0.99233,1.14166,0.78302,0.72464,0.75346,0.44676,0.65005,0.60643,0.54463,0.16886,1.45943,1.25849,1.26612,1.40149,0.0017624,0.0017624,0.0017624
14,442.011,1.04317,1.54221,0.96874,1.14028,0.66168,0.66667,0.66876,0.41332,0.52701,0.53414,0.47099,0.14502,1.35257,1.22696,1.39889,1.3481,0.0017426,0.0017426,0.0017426
15,473.2,1.03314,1.52864,0.96352,1.13273,0.76115,0.65272,0.69859,0.43137,0.61711,0.56961,0.50303,0.15744,1.30887,1.27771,1.21428,1.2821,0.0017228,0.0017228,0.0017228
